                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98263,                0.53832,                0.94102,                0.95118,                0.82728,                0.92005,                0.65888,                0.83907,                0.42937,                0.90862,               0.000467,               0.000467,               0.000467
                     37,                0.98218,                0.54156,                0.95097,                0.95622,                0.86013,                0.93288,                0.68212,                0.83418,                0.42799,                 0.9043,              0.0004387,              0.0004387,              0.0004387
                     38,                0.96696,                0.53289,                0.94746,                0.94374,                0.86555,                 0.9313,                0.67866,                0.83286,                0.41094,                0.90175,             0.00041041,             0.00041041,             0.00041041
                     39,                0.96533,                0.52151,                0.94678,                0.92685,                 0.8828,                0.93634,                0.68612,                0.83332,                0.41781,                0.90284,             0.00038211,             0.00038211,             0.00038211
                     40,                0.97068,                0.51986,                0.93872,                0.95472,                 0.8688,                0.94178,                0.68848,                0.82268,                0.40545,                0.89831,             0.00035382,             0.00035382,             0.00035382
                     41,                0.94878,                 0.5079,                0.93759,                0.93297,                0.87197,                0.93778,                0.67805,                 0.8279,                0.42012,                0.90281,             0.00032553,             0.00032553,             0.00032553
                     42,                0.93811,                0.47742,                0.92895,                 0.9487,                0.87224,                0.93834,                0.67998,                0.80506,                 0.4028,                0.89089,             0.00029723,             0.00029723,             0.00029723
                     43,                0.93301,                0.48124,                0.92734,                 0.9412,                0.88101,                0.93862,                0.68464,                0.81437,                0.40357,                0.89357,             0.00026894,             0.00026894,             0.00026894
                     44,                0.92035,                0.46421,                0.92133,                 0.9607,                0.87954,                0.94337,                0.68789,                0.80699,                0.39789,                0.89171,             0.00024064,             0.00024064,             0.00024064
                     45,                0.91283,                0.45854,                0.92178,                 0.9636,                0.87955,                0.94803,                0.70018,                0.79166,                0.38718,                0.88608,             0.00021235,             0.00021235,             0.00021235
                     46,                0.91513,                0.45503,                0.91587,                0.95499,                0.87649,                0.94787,                0.69903,                0.78564,                 0.3805,                 0.8841,             0.00018406,             0.00018406,             0.00018406
                     47,                0.90062,                0.44711,                0.91237,                0.93735,                0.89514,                0.94814,                0.69847,                0.79272,                0.38471,                0.88463,             0.00015576,             0.00015576,             0.00015576
                     48,                0.90971,                0.44785,                0.91103,                0.95184,                0.89579,                0.95242,                0.70943,                0.77696,                0.37438,                0.88002,             0.00012747,             0.00012747,             0.00012747
                     49,                0.88367,                0.44313,                0.90809,                0.95455,                0.88948,                0.95249,                0.71106,                0.76492,                0.37272,                0.87706,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.88226,                0.43695,                0.90783,                0.96348,                0.89374,                0.95363,                0.71615,                0.76171,                0.36724,                0.87649,             7.0878e-05,             7.0878e-05,             7.0878e-05
