                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7894,                 2.7948,                 1.4137,                0.01085,                0.47553,                0.21368,                0.13499,                 1.3483,                 3.1473,                 1.1218,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.3585,                 1.4774,                 1.0822,                0.64455,                0.19953,                0.27146,                0.16658,                 1.3635,                 2.4267,                 1.1802,             0.00092152,             0.00092152,             0.00092152
                      3,                 1.2697,                  1.235,                 1.0611,                0.40817,                0.39569,                 0.4067,                0.25115,                 1.2219,                 1.8047,                 1.0955,              0.0013604,              0.0013604,              0.0013604
                      4,                  1.247,                 1.1487,                 1.0543,                0.53573,                 0.4955,                 0.5147,                0.31601,                 1.2137,                 1.6214,                 1.0835,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2781,                 1.1215,                 1.0683,                0.90314,                0.50596,                0.64028,                0.39455,                 1.2101,                 1.1817,                 1.0887,              0.0013441,              0.0013441,              0.0013441
                      6,                  1.194,                 1.0163,                 1.0379,                0.72408,                  0.549,                0.63757,                0.40288,                 1.2133,                 1.1076,                 1.0647,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.1788,                0.95481,                 1.0376,                0.58499,                0.54179,                0.60363,                0.38556,                 1.1872,                 1.1181,                 1.1024,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1829,                0.91971,                 1.0251,                0.67986,                0.61524,                0.65899,                0.42701,                 1.1199,                0.89686,                 1.0582,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.1831,                 0.8958,                 1.0212,                0.62849,                0.60438,                0.64862,                0.42196,                 1.1725,                0.99011,                 1.0695,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.1688,                0.87484,                 1.0214,                 0.6775,                0.66157,                0.68213,                0.43635,                 1.1789,                0.95467,                 1.0526,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1321,                0.83521,                  1.013,                0.71874,                0.58641,                 0.6645,                0.43564,                 1.1118,                0.86588,                 1.0532,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.1584,                0.85306,                 1.0128,                0.68166,                0.67643,                0.68251,                0.44188,                 1.0974,                0.90421,                 1.0289,              0.0011461,              0.0011461,              0.0011461
